127.0.0.1 - - [03/Mar/2017:13:02:53 +0000] "GET / HTTP/1.1" 200 6598 "-" "curl/7.47.0"
195.176.111.71 - - [03/Mar/2017:13:02:59 +0000] "GET / HTTP/1.1" 200 2427 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:13:02:59 +0000] "GET /static/styles/vendor.css?578398f9 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:13:02:59 +0000] "GET /static/styles/app.css?331a33b8 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:13:02:59 +0000] "GET /static/scripts/vendor.js?3af022d9 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:13:02:59 +0000] "GET /static/scripts/app.js?3433d975 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:14:04:32 +0000] "GET / HTTP/1.1" 200 2205 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:14:04:33 +0000] "GET /static/styles/vendor.css?578398f9 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:14:04:33 +0000] "GET /static/styles/app.css?331a33b8 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:14:04:33 +0000] "GET /static/scripts/app.js?3433d975 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
195.176.111.71 - - [03/Mar/2017:14:04:33 +0000] "GET /static/scripts/vendor.js?3af022d9 HTTP/1.1" 404 580 "http://need-exploration.southcentralus.cloudapp.azure.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
